Industry,Male_Median,Female_Median,Gap_Percent
"Total, full-time wage and salary workers",1261,1043,17.287866772402854
"Management, professional, and related occupations",1879,1388,26.13092070250133
"Management, business, and financial operations occupations",1906,1523,20.094438614900316
Management occupations,1955,1551,20.664961636828643
Chief executives,3115,2711,12.969502407704656
General and operations managers,1826,1362,25.410733844468787
Marketing managers,1922,1846,3.954214360041623
Sales managers,2475,1753,29.17171717171717
Computer and information systems managers,2522,2110,16.33624107850912
Financial managers,2320,1560,32.758620689655174
Human resources managers,2284,1803,21.05954465849387
Industrial production managers,1925,1728,10.233766233766234
Purchasing managers,1983,1598,19.41502773575391
"Transportation, storage, and distribution managers",1320,1232,6.666666666666667
Construction managers,1767,1744,1.3016411997736277
Education and childcare administrators,1857,1558,16.10123855681206
Food service managers,1155,942,18.441558441558442
Medical and health services managers,2095,1559,25.584725536992842
"Property, real estate, and community association managers",1355,1118,17.490774907749078
Social and community service managers,1686,1328,21.233689205219456
"Managers, all other",1990,1563,21.457286432160807
Business and financial operations occupations,1804,1469,18.569844789356985
"Wholesale and retail buyers, except farm products",1465,880,39.93174061433447
"Purchasing agents, except wholesale, retail, and farm products",1538,1322,14.044213263979193
"Claims adjusters, appraisers, examiners, and investigators",1583,1231,22.236260265319014
Compliance officers,1990,1402,29.547738693467334
Human resources workers,1520,1424,6.315789473684211
Training and development specialists,1466,1337,8.799454297407912
Logisticians,1352,1003,25.813609467455624
Project management specialists,1889,1803,4.552673372154579
Management analysts,2006,1894,5.583250249252243
Market research analysts and marketing specialists,1881,1613,14.247740563530037
"Business operations specialists, all other",1619,1243,23.224212476837554
Accountants and auditors,1853,1517,18.132757690232058
Financial and investment analysts,1985,1734,12.644836272040303
Personal financial advisors,2309,1462,36.68254655695106
Credit counselors and loan officers,1988,1071,46.12676056338028
Other financial specialists,1996,1352,32.26452905811623
Professional and related occupations,1828,1319,27.844638949671776
Computer and mathematical occupations,2043,1640,19.725893294175233
Computer systems analysts,1894,1518,19.852164730728617
Computer programmers,1884,1454,22.823779193205944
Software developers,2495,2238,10.30060120240481
Computer support specialists,1595,1214,23.887147335423197
"Computer occupations, all other",1745,1362,21.948424068767906
Operations research analysts,1870,1481,20.802139037433154
Other mathematical science occupations,1907,1564,17.986366019926585
Architecture and engineering occupations,1896,1616,14.767932489451477
Civil engineers,1899,1552,18.272775144813057
"Industrial engineers, including health and safety",1921,1652,14.003123373243104
"Engineers, all other",2007,1773,11.659192825112108
"Other engineering technologists and technicians, except drafters",1322,1077,18.532526475037823
"Life, physical, and social science occupations",1755,1518,13.504273504273504
Medical scientists,1977,1881,4.855842185128983
"Physical scientists, all other",1914,1729,9.665621734587251
"Other life, physical, and social science technicians",1285,1133,11.828793774319065
Community and social service occupations,1186,1155,2.6138279932546373
"Counselors, all other",1483,1033,30.343897505057317
"Social workers, all other",1235,1225,0.8097165991902834
Social and human service assistants,1056,1024,3.0303030303030303
Clergy,1159,1140,1.639344262295082
Legal occupations,2475,1580,36.16161616161616
Lawyers,2857,2296,19.635981799089954
Paralegals and legal assistants,1409,1156,17.955997161107167
"Education, training, and library occupations",1414,1146,18.95332390381895
Postsecondary teachers,1898,1680,11.485774499473129
Elementary and middle school teachers,1384,1226,11.416184971098266
Secondary school teachers,1415,1346,4.876325088339223
Other teachers and instructors,1299,1040,19.93841416474211
Teaching assistants,880,716,18.636363636363637
"Arts, design, entertainment, sports, and media occupations",1516,1302,14.116094986807386
Graphic designers,1430,1224,14.405594405594405
Other designers,1825,1367,25.095890410958905
Healthcare practitioners and technical occupations,1773,1400,21.037789058093626
Pharmacists,2582,2320,10.147172734314484
Other physicians,3506,3167,9.669138619509413
Physical therapists,1732,1535,11.374133949191686
Registered nurses,1761,1476,16.183986371379895
Clinical laboratory technologists and technicians,1363,1155,15.260454878943507
Radiologic technologists and technicians,1465,1228,16.177474402730375
Emergency medical technicians,1021,868,14.985308521057785
Licensed practical and licensed vocational nurses,1150,1010,12.173913043478262
Service occupations,834,713,14.508393285371701
Healthcare support occupations,841,741,11.890606420927467
Home health aides,765,696,9.019607843137255
